ID	AN00493.ba41-42-22	AN00764.ba41-42-22	AN01410.ba41-42-22	AN02987.ba41-42-22	AN03217.ba41-42-22	AN03632.ba41-42-22	AN03935.ba41-42-22	AN04479.ba41-42-22	AN04682.ba41-42-22	AN05983.ba41-42-22	AN06365.ba41-42-22	AN06420.ba41-42-22	AN07176.ba41-42-22	AN07444.ba41-42-22	AN08161.ba41-42-22	AN08166.ba41-42-22	AN08677.ba41-42-22	AN08873.ba41-42-22	AN09402.ba41-42-22	AN09714.ba41-42-22	AN10723.ba41-42-22	AN11864.ba41-42-22	AN11931.ba41-42-22	AN12137.ba41-42-22	AN13295.ba41-42-22	AN13872.ba41-42-22	AN14757.ba41-42-22	AN14829.ba41-42-22	AN15088.ba41-42-22	AN16641.ba41-42-22	AN17254.ba41-42-22	AN17425.ba41-42-22	AN17678.ba41-42-22	AN19442.ba41-42-22	AN19760.ba41-42-22	UMB1376.ba41-42-22	UMB1578.ba41-42-22	UMB4337.ba41-42-22	UMB4590.ba41-42-22	UMB4842.ba41-42-22	UMB4999.ba41-42-22	UMB5079.ba41-42-22	UMB5115.ba41-42-22	UMB5144.ba41-42-22	UMB5176.ba41-42-22	UMB5297.ba41-42-22	UMB5302.ba41-42-22	UMB5303.ba41-42-22	UMB5309.ba41-42-22	UMB5340.ba41-42-22	UMB5342.ba41-42-22	AN00142.ba9	AN00493.ba9	AN00544.ba9	AN00764.ba9	AN01125.ba9	AN01410.ba9	AN01971.ba9	AN03217.ba9	AN03345.ba9	AN03632.ba9	AN03935.ba9	AN04479.ba9	AN04682.ba9	AN05983.ba9	AN06420.ba9	AN07176.ba9	AN07444.ba9	AN08161.ba9	AN08166.ba9	AN08792.ba9	AN09402.ba9	AN09714.ba9	AN09730.ba9	AN10028.ba9	AN10679.ba9	AN10723.ba9	AN10833.ba9	AN11864.ba9	AN11931.ba9	AN12137.ba9	AN12457.ba9	AN14757.ba9	AN14829.ba9	AN15566.ba9	AN16115.ba9	AN16641.ba9	AN17138.ba9	AN17425.ba9	AN17515.ba9	AN19442.ba9	AN19760.ba9	UMB1376.ba9	UMB1578.ba9	UMB4337.ba9	UMB4787.ba9	UMB4842.ba9	UMB4999.ba9	UMB5079.ba9	UMB5144.ba9	UMB5163.ba9	UMB5176.ba9	UMB5242.ba9	UMB5303.ba9	UMB5340.ba9
RegionID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ASD.CTL	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1
Age	27	20	41	15	19	49	20	44	15	24	10	39	21	17	36	29	38	5	11	60	60	57	39	31	56	5	24	26	52	9	51	16	11	50	28	37	53	8	20	47	21	33	46	7	22	33	16	67	14	53	23	44	27	17	20	56	41	38	19	2	49	20	44	15	24	39	21	17	36	29	30	11	60	22	36	41	60	22	57	39	31	29	24	26	32	11	9	16	16	54	50	28	37	53	8	13	47	21	33	7	15	23	15	67	53
Sex	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIN	5.7	2.5	7.4	8.6	6.7	8.1	7.9	7.05	8.2	8.7	8	3.1	6.65	8.2	8.1	6.4	8	9.1	7.5	7.2	8.7	5.4	8.5	6.4	6.3	6.9	5.5	6.2	4.2	4.7	8.3	6.75	2.7	5.5	6.1	5	8.1	5.8	8.3	8.1	8.4	7.9	8.2	7.7	5.3	6.7	3.7	8.5	6.6	8.2	7.7	6.2	7.3	7.8	8.5	7	7.4	2.9	7.25	6.9	8	8	7.6	7.8	7.8	8	5.75	3.5	8.1	6.4	5.1	6.7	7.6	3.2	6.2	8.4	8.3	5.1	7.3	7.9	4.6	5.5	8.3	3.5	7.5	9.1	5.3	7.2	6.55	8.1	6.9	8	4.8	8.1	5.8	6.7	7.9	8.2	7.8	8	6.7	7.2	8.4	7.4	8.4
SeqBatch	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	3	3	1	2	1	2	1	1	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	3	1	1	1	1	1	1	2	1	2	1	2	3	1	1	1	1	1	3	1	3	1
BrainBank	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PMI	8.3	23.7	27.17	30.8	18.58	21.08	28.08	23.26	23.23	36.36	17.7	13.95	29.91	30.75	23.83	43.25	25.47	25.5	10.5	26.5	24.23	22.33	32.83	32.92	22.12	33	21.33	28.67	17.88	27	22.16	26.16	21.04	20.4	23.25	12	17	16	19	12	14	16	29	3	18	50	20	16	8	21.04	14	24.61	8.3	28.92	23.7	24.17	27.17	31.5	18.58	4	21.08	28.08	23.26	23.23	36.36	13.95	29.91	30.75	23.83	43.25	20.3	10.5	26.5	25	21.46	14	24.23	21.47	22.33	32.83	32.92	17.83	21.33	28.67	28.92	12.88	27	21.04	26.16	28.25	20.4	23.25	12	17	16	15	12	14	16	3	12	18	9	16	21.04
